name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,recent_goals_scored,recent_total_points,recent_yellow_cards,recent_red_cards,recent_assists,recent_clean_sheets,recent_saves,recent_minutes,won_game,recent_bps,recent_goals_conceded,recent_creativity,recent_won_game
Fraser Forster,GK,Southampton,1.0,0,0,0,0,0.0,523,1,0,0,0.0,0.0,2020-09-12T14:00:00Z,0,6,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,40,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Hugo Lloris,GK,Spurs,3.8,0,0,15,0,0.0,383,4,1,0,2.0,20.0,2020-09-13T15:30:00Z,90,7,0,0,0,0,1,3,296409,1,0,0.0,3,0,0,0,55,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Illan Meslier,GK,Leeds,0.3,0,0,20,0,0.0,213,3,4,0,1.8,17.8,2020-09-12T16:30:00Z,90,11,0,0,0,0,1,3,55373,3,4,0.0,1,0,0,0,45,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Jason Steele,GK,Brighton,0.0,0,0,0,0,0.0,528,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,5,0,0,0,0,1,0,0,3,1,0.0,0,0,0,0,40,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Joe Hart,GK,Spurs,2.3,0,0,0,0,0.0,482,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,7,0,0,0,0,1,0,55692,1,0,0.0,0,0,0,0,45,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
John Ruddy,GK,Wolves,1.8,0,0,0,0,0.0,453,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,15,0,0,0,0,1,0,20303,2,0,0.0,0,0,0,0,45,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Jonas Lössl,GK,Everton,1.3,0,0,0,0,0.0,151,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,17,0,0,0,0,1,0,9107,1,0,0.0,0,0,0,0,45,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Jordan Pickford,GK,Everton,2.0,0,1,32,1,0.0,157,4,0,0,3.9,38.6,2020-09-13T15:30:00Z,90,17,0,0,0,0,1,5,270083,1,0,0.0,8,0,0,0,50,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
João Virgínia,GK,Everton,1.3,0,0,0,0,0.0,167,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,17,0,0,0,0,1,0,5051,1,0,0.0,0,0,0,0,45,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Kamil Miazek,GK,Leeds,-0.5,0,0,0,0,0.0,208,3,0,0,0.0,0.0,2020-09-12T16:30:00Z,0,11,0,0,0,0,1,0,137480,3,4,0.0,0,0,0,0,40,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Karl Darlow,GK,Newcastle,2.5,0,0,26,1,0.0,325,6,0,0,2.7,27.0,2020-09-12T19:00:00Z,90,19,0,0,0,0,1,3,13715,2,0,0.0,7,0,0,0,50,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Kasper Schmeichel,GK,Leicester,4.3,0,0,21,1,0.0,217,5,0,0,1.2,12.2,2020-09-13T13:00:00Z,90,18,0,0,0,0,1,1,828679,3,0,0.0,6,0,0,0,55,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Kepa Arrizabalaga,GK,Chelsea,3.5,0,0,12,0,0.0,112,7,1,0,1.0,10.4,2020-09-14T19:15:00Z,90,3,0,0,0,0,1,2,132136,3,1,0.0,2,0,0,0,50,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Lukasz Fabianski,GK,West Ham,2.5,0,0,9,0,0.0,431,6,2,0,0.5,5.0,2020-09-12T19:00:00Z,90,14,0,0,0,0,1,0,102540,2,0,0.0,1,0,0,0,50,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Marcus Bettinelli,GK,Fulham,0.0,0,0,0,0,0.0,183,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,1,0,0,0,0,1,0,6306,3,0,0.0,0,0,0,0,45,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Marek Rodák,GK,Fulham,0.8,0,0,11,0,0.0,186,2,3,0,1.8,18.2,2020-09-12T11:30:00Z,90,1,0,0,0,0,1,2,27465,3,0,0.0,1,0,0,0,45,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Mark Gillespie,GK,Newcastle,1.8,0,0,0,0,0.0,488,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,19,0,0,0,0,1,0,5313,2,0,0.0,0,0,0,0,45,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Martin Dubravka,GK,Newcastle,0.0,0,0,0,0,0.0,326,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,19,0,0,0,0,1,0,27245,2,0,0.0,0,0,0,0,50,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Mathew Ryan,GK,Brighton,0.8,0,0,12,0,0.0,70,7,3,0,1.2,11.6,2020-09-14T19:15:00Z,90,5,0,0,0,0,1,2,1121565,3,1,0.0,1,0,0,0,45,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Matija Sarkic,GK,Wolves,1.8,0,0,0,0,0.0,472,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,15,0,0,0,0,1,0,9380,2,0,0.0,0,0,0,0,45,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Matt Macey,GK,Arsenal,2.0,0,0,0,0,0.0,527,2,0,0,0.0,0.0,2020-09-12T11:30:00Z,0,8,0,0,0,0,1,0,0,3,0,0.0,0,0,0,0,40,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Paulo Gazzaniga,GK,Spurs,2.3,0,0,0,0,0.0,393,4,0,0,0.0,0.0,2020-09-13T15:30:00Z,0,7,0,0,0,0,1,0,22611,1,0,0.0,0,0,0,0,45,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Roberto Jimenez Gago,GK,West Ham,0.0,0,0,0,0,0.0,433,6,0,0,0.0,0.0,2020-09-12T19:00:00Z,0,14,0,0,0,0,1,0,1162,2,0,0.0,0,0,0,0,45,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Rui Pedro dos Santos Patrício,GK,Wolves,3.3,0,0,23,1,0.0,455,8,0,0,1.1,11.2,2020-09-14T17:00:00Z,90,15,0,0,0,0,1,1,375930,2,0,0.0,6,0,0,0,55,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Sam Johnstone,GK,West Brom,0.8,0,0,16,0,0.0,417,5,3,0,3.1,31.2,2020-09-13T13:00:00Z,90,9,0,0,0,0,1,4,43295,3,0,0.0,2,0,0,0,45,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Simon Moore,GK,Sheffield Utd,1.8,0,0,0,0,0.0,348,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,20,0,0,0,0,1,0,14532,2,0,0.0,0,0,0,0,45,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Vicente Guaita,GK,Crystal Palace,2.5,0,3,31,1,0.0,128,1,0,0,4.1,41.4,2020-09-12T14:00:00Z,90,16,0,0,0,0,1,5,87269,0,1,0.0,10,0,0,0,50,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Wayne Hennessey,GK,Crystal Palace,1.8,0,0,0,0,0.0,126,1,0,0,0.0,0.0,2020-09-12T14:00:00Z,0,16,0,0,0,0,1,0,49581,0,1,0.0,0,0,0,0,45,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Wes Foderingham,GK,Sheffield Utd,1.8,0,0,0,0,0.0,350,8,0,0,0.0,0.0,2020-09-14T17:00:00Z,0,20,0,0,0,0,1,0,9649,2,0,0.0,0,0,0,0,45,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Willy Caballero,GK,Chelsea,3.5,0,0,0,0,0.0,101,7,0,0,0.0,0.0,2020-09-14T19:15:00Z,0,3,0,0,0,0,1,0,20402,3,1,0.0,0,0,0,0,50,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Aaron Ramsdale,GK,Sheffield Utd,2.0,0,0,10,0,0.0,483,10,1,0,1.1,11.2,2020-09-21T17:00:00Z,90,2,0,0,0,0,2,1,440147,0,1,0.0,2,-41600,15075,56675,50,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,2.0,90.0,0,12.0,2.0,0.0,0.0
Adrián San Miguel del Castillo,GK,Liverpool,0.5,0,0,0,0,0.0,245,11,0,0,0.0,0.0,2020-09-20T15:30:00Z,0,5,0,0,0,0,2,0,20756,2,0,0.0,0,-1474,627,2101,45,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0
Alex McCarthy,GK,Southampton,0.5,0,0,9,0,0.0,363,17,5,0,1.3,12.8,2020-09-20T11:00:00Z,90,17,0,0,0,0,2,1,1423373,5,2,0.0,0,-49369,83896,133265,45,1,0,2,0.0,2.0,0.0,0.0,0.0,0.0,2.0,90.0,0,17.0,1.0,0.0,0.0
Alisson Ramses Becker,GK,Liverpool,8.0,0,2,41,1,0.0,252,11,0,0,4.7,47.2,2020-09-20T15:30:00Z,90,5,0,0,1,0,2,3,733175,2,0,0.0,14,-92351,10612,102963,60,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,1,9.0,3.0,0.0,1.0
Alphonse Areola,GK,Fulham,0.5,0,0,17,0,0.0,516,13,4,0,2.4,24.4,2020-09-19T14:00:00Z,90,10,0,0,0,0,2,3,87432,3,4,0.0,1,-4124,9436,13560,45,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Angus Gunn,GK,Southampton,-0.5,0,0,0,0,0.0,371,17,0,0,0.0,0.0,2020-09-20T11:00:00Z,0,17,0,0,0,0,2,0,20173,5,2,0.0,0,-2038,476,2514,45,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Bailey Peacock-Farrell,GK,Burnley,-0.5,0,0,0,0,0.0,99,14,0,0,0.0,0.0,2020-09-20T18:00:00Z,0,9,0,0,0,0,2,0,97704,2,4,0.0,0,2797,6754,3957,40,0,0,2,,,,,,,,,0,,,,
Bernd Leno,GK,Arsenal,5.0,0,0,18,0,0.0,8,9,1,0,1.8,18.0,2020-09-19T19:00:00Z,90,19,0,0,0,0,2,2,614046,1,2,0.0,2,71268,112820,41552,50,1,0,2,0.0,7.0,0.0,0.0,0.0,1.0,2.0,90.0,1,29.0,0.0,0.0,1.0
Christian Walton,GK,Brighton,0.0,0,0,0,0,0.0,503,16,0,0,0.0,0.0,2020-09-20T13:00:00Z,0,14,0,0,0,0,2,0,101857,3,0,0.0,0,-9208,2437,11645,40,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Claudio Bravo,GK,Man City,0.0,0,0,0,0,0.0,267,18,0,0,0.0,0.0,2020-09-21T19:15:00Z,0,20,0,0,0,0,2,0,2235,3,1,0.0,0,-292,106,398,45,0,0,2,,,,,,,,,1,,,,
Danny Ward,GK,Leicester,0.5,0,0,0,0,0.0,223,14,0,0,0.0,0.0,2020-09-20T18:00:00Z,0,4,0,0,0,0,2,0,15294,2,4,0.0,0,-921,431,1352,45,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0
Darren Randolph,GK,West Ham,-0.5,0,0,0,0,0.0,430,9,0,0,0.0,0.0,2020-09-19T19:00:00Z,0,1,0,0,0,0,2,0,17208,1,2,0.0,0,-1090,308,1398,45,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
David Button,GK,West Brom,-0.5,0,0,0,0,0.0,56,12,0,0,0.0,0.0,2020-09-19T11:30:00Z,0,7,0,0,0,0,2,0,324407,2,5,0.0,0,-369,17443,17812,40,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
David de Gea,GK,Man Utd,1.5,0,0,12,0,0.0,291,15,3,0,1.7,16.6,2020-09-19T16:30:00Z,90,6,0,0,0,0,2,2,296170,3,1,0.0,1,8554,24934,16380,55,1,0,2,,,,,,,,,0,,,,
David Martin,GK,West Ham,-0.5,0,0,0,0,0.0,429,9,0,0,0.0,0.0,2020-09-19T19:00:00Z,0,1,0,0,0,0,2,0,518484,1,2,0.0,0,-9726,13989,23715,40,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Dean Henderson,GK,Man Utd,0.5,0,0,0,0,0.0,305,15,0,0,0.0,0.0,2020-09-19T16:30:00Z,0,6,0,0,0,0,2,0,182213,3,1,0.0,0,-18567,3240,21807,55,1,0,2,,,,,,,,,0,,,,
Ederson Santana de Moraes,GK,Man City,3.0,0,0,11,0,0.0,278,18,1,0,0.5,5.0,2020-09-21T19:15:00Z,90,20,0,0,0,0,2,0,354253,3,1,0.0,2,9469,29834,20365,60,0,0,2,,,,,,,,,1,,,,
Elia Caprile,GK,Leeds,1.0,0,0,0,0,0.0,532,13,0,0,0.0,0.0,2020-09-19T14:00:00Z,0,8,0,0,0,0,2,0,0,3,4,0.0,0,0,0,0,40,1,0,2,,,,,,,,,1,,,,
Emiliano Martínez,GK,Aston Villa,12.5,0,2,38,1,0.0,12,10,0,0,3.2,32.2,2020-09-21T17:00:00Z,90,15,0,0,1,0,2,1,349600,0,1,0.0,13,38079,53128,15049,45,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0
Fabricio Agosto Ramírez,GK,Fulham,0.0,0,0,0,0,0.0,171,13,0,0,0.0,0.0,2020-09-19T14:00:00Z,0,10,0,0,0,0,2,0,131318,3,4,0.0,0,-825,6570,7395,40,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Francisco Casilla Cortés,GK,Leeds,0.0,0,0,0,0,0.0,194,13,0,0,0.0,0.0,2020-09-19T14:00:00Z,0,8,0,0,0,0,2,0,142124,3,4,0.0,0,-19435,5482,24917,45,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Fraser Forster,GK,Southampton,-0.5,0,0,0,0,0.0,523,17,0,0,0.0,0.0,2020-09-20T11:00:00Z,0,17,0,0,0,0,2,0,70348,5,2,0.0,0,25232,29414,4182,40,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Hugo Lloris,GK,Spurs,3.0,0,0,18,0,0.0,383,17,2,0,3.7,37.2,2020-09-20T11:00:00Z,90,16,0,0,0,0,2,5,319315,5,2,0.0,2,-18999,13398,32397,55,0,0,2,0.0,3.0,0.0,0.0,0.0,0.0,3.0,90.0,1,15.0,1.0,0.0,0.0
Illan Meslier,GK,Leeds,1.5,0,0,19,0,10.0,213,13,3,0,3.2,22.2,2020-09-19T14:00:00Z,90,8,0,0,0,0,2,3,108204,3,4,0.0,2,27672,40170,12498,45,1,0,2,0.0,1.0,0.0,0.0,0.0,0.0,3.0,90.0,1,20.0,4.0,0.0,0.0
Jason Steele,GK,Brighton,-0.5,0,0,0,0,0.0,528,16,0,0,0.0,0.0,2020-09-20T13:00:00Z,0,14,0,0,0,0,2,0,11147,3,0,0.0,0,5600,6959,1359,40,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Jed Steer,GK,Aston Villa,-0.5,0,0,0,0,0.0,32,10,0,0,0.0,0.0,2020-09-21T17:00:00Z,0,15,0,0,0,0,2,0,351261,0,1,0.0,0,11879,27701,15822,40,1,0,2,,,,,,,,,1,,,,
Joe Hart,GK,Spurs,0.5,0,0,0,0,0.0,482,17,0,0,0.0,0.0,2020-09-20T11:00:00Z,0,16,0,0,0,0,2,0,61004,5,2,0.0,0,-4319,1549,5868,45,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
John Ruddy,GK,Wolves,-1.0,0,0,0,0,0.0,453,18,0,0,0.0,0.0,2020-09-21T19:15:00Z,0,12,0,0,0,0,2,0,22927,3,1,0.0,0,-1257,564,1821,45,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
Jonas Lössl,GK,Everton,0.5,0,0,0,0,0.0,151,12,0,0,0.0,0.0,2020-09-19T11:30:00Z,0,18,0,0,0,0,2,0,10818,2,5,0.0,0,-765,484,1249,45,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0
Jordan Pickford,GK,Everton,5.0,0,0,15,0,0.0,157,12,2,0,1.4,13.8,2020-09-19T11:30:00Z,90,18,0,0,0,0,2,2,617049,2,5,0.0,1,168928,207230,38302,50,1,0,2,0.0,8.0,0.0,0.0,0.0,1.0,5.0,90.0,1,32.0,0.0,0.0,1.0
João Virgínia,GK,Everton,0.5,0,0,0,0,0.0,167,12,0,0,0.0,0.0,2020-09-19T11:30:00Z,0,18,0,0,0,0,2,0,5940,2,5,0.0,0,-486,136,622,45,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0
Kamil Miazek,GK,Leeds,0.0,0,0,0,0,0.0,208,13,0,0,0.0,0.0,2020-09-19T14:00:00Z,0,8,0,0,0,0,2,0,153253,3,4,0.0,0,-513,8111,8624,40,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Karl Darlow,GK,Newcastle,5.0,0,0,16,0,0.0,325,16,3,0,1.8,17.8,2020-09-20T13:00:00Z,90,3,0,0,0,0,2,4,33351,3,0,0.0,2,6661,11384,4723,50,1,0,2,0.0,7.0,0.0,0.0,0.0,1.0,3.0,90.0,0,26.0,0.0,0.0,1.0
Kasper Schmeichel,GK,Leicester,4.5,0,0,15,0,0.0,217,14,2,0,3.2,31.6,2020-09-20T18:00:00Z,90,4,0,0,0,0,2,3,937658,2,4,0.0,2,2625,51208,48583,55,1,0,2,0.0,6.0,0.0,0.0,0.0,1.0,1.0,90.0,1,21.0,0.0,0.0,1.0
Kepa Arrizabalaga,GK,Chelsea,1.5,0,0,16,0,0.0,112,11,2,0,1.8,18.2,2020-09-20T15:30:00Z,90,11,0,0,0,0,2,3,136627,2,0,0.0,2,-14874,9656,24530,50,1,0,2,0.0,2.0,0.0,0.0,0.0,0.0,2.0,90.0,0,12.0,1.0,0.0,1.0
Lukasz Fabianski,GK,West Ham,0.5,0,0,12,0,0.0,431,9,2,0,0.8,7.6,2020-09-19T19:00:00Z,90,1,0,0,0,0,2,1,99714,1,2,0.0,1,-13627,2101,15728,50,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,0,9.0,2.0,0.0,0.0
Marcus Bettinelli,GK,Fulham,0.0,0,0,0,0,0.0,183,13,0,0,0.0,0.0,2020-09-19T14:00:00Z,0,10,0,0,0,0,2,0,4714,3,4,0.0,0,-1609,72,1681,45,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Marek Rodák,GK,Fulham,0.5,0,0,0,0,0.0,186,13,0,0,0.0,0.0,2020-09-19T14:00:00Z,0,10,0,0,0,0,2,0,36857,3,4,0.0,0,324,4366,4042,45,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,2.0,90.0,0,11.0,3.0,0.0,0.0
Mark Gillespie,GK,Newcastle,0.5,0,0,0,0,0.0,488,16,0,0,0.0,0.0,2020-09-20T13:00:00Z,0,3,0,0,0,0,2,0,6402,3,0,0.0,0,-468,216,684,45,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
Martin Dubravka,GK,Newcastle,0.0,0,0,0,0,0.0,326,16,0,0,0.0,0.0,2020-09-20T13:00:00Z,0,3,0,0,0,0,2,0,22181,3,0,0.0,0,-5809,271,6080,50,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
Mathew Ryan,GK,Brighton,3.0,0,0,22,1,0.0,70,16,0,0,0.4,4.2,2020-09-20T13:00:00Z,90,14,0,0,0,0,2,0,1159789,3,0,0.0,6,-21416,61649,83065,45,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,2.0,90.0,1,12.0,3.0,0.0,0.0
